41,94
49,61
37,92
33,56
27,40
32,79
59,81
30,67
38,44
36,94
35,84
29,49
31,31
34,93
28,50
29,51
32,80
22,96
53,78
38,45
24,96
36,82
34,53
21,96
34,83
53,58
32,72
42,48
44,42
46,83
33,78
44,41
30,83
39,56
24,61
43,72
50,86
35,97
36,82
33,42
35,75
27,33
26,48
27,37
30,58
41,49
34,72
37,73
46,98
35,36
48,98
28,50
44,75
35,79
26,47
33,98
35,71
35,30
31,48
37,51
32,33
38,50
50,43
59,99
36,59
55,33
36,95
45,59
35,79
36,79
59,57
29,76
31,87
32,66
36,55
31,61
35,32
45,52
37,30
46,80
30,55
35,30
55,70
38,79
34,94
56,49
23,62
51,96
30,99
46,64
40,78
51,71
30,63
46,40
32,87
54,60
24,33
28,43
58,37
44,67
37,63
32,71
20,66
34,41
37,100
59,32
50,73
25,46
25,64
22,59
51,30
34,66
54,30
24,52
34,45
37,87
34,45
36,92
36,39
43,92
30,96
33,95
56,72
51,51
31,76
26,46
58,94
19,50
22,100
49,96
43,72
50,77
31,71
41,96
26,61
36,84
51,53
39,47
25,41
30,48
32,41
45,83
38,32
30,75
32,35
30,84
30,35
41,91
41,94
19,79
40,54
35,94
53,34
45,60
32,43
29,41
51,34
58,75
40,67
34,75
22,80
27,57
28,42
57,83
27,79
50,53
41,56
30,41
38,59
32,43
27,51
19,100
36,30
30,66
45,30
56,67
33,90
19,47
46,92
38,75
31,95
34,95
41,70
50,86
53,57
33,72
40,46
55,61
34,45
51,98
52,65
27,99
35,50
43,37
45,65
37,65
35,37
42,36
38,88
38,54
27,60
49,92
34,43
40,99
38,70
29,35
22,60
36,73
40,63
46,97
32,32
30,88
27,90
51,81
30,88
41,75
30,52
29,85
45,57
54,52
36,62
33,47
37,47
38,76
31,90
59,70
37,41
29,42
35,92
29,86
52,89
42,58
59,52
50,68
33,58
43,80
33,39
52,79
32,56
32,62
39,96
32,100
41,36
40,62
45,70
31,73
33,63
34,84
37,83
45,77
37,61
39,64
29,60
42,82
29,45
25,62
42,56
40,49
51,96
31,71
32,100
38,39
32,84
46,75
28,79
29,78
31,64
25,85
45,79
36,47
55,81
47,88
28,94
37,98
21,100
37,80
35,71
38,44
26,84
50,96
53,45
42,99
29,44
55,37
26,60
37,42
44,43
38,82
26,45
28,66
49,35
36,30
31,84
26,48
37,53
42,77
18,54
35,96
36,81
51,84
41,88
18,69
28,68
31,100
39,48
36,47
32,91
38,81
58,32
31,86
31,62
45,97
31,32
33,74
39,99
43,33
49,90
52,85
27,85
32,65
27,74
31,73
32,74
28,84
30,64
31,48
39,54
39,41
33,46
47,42
43,82
27,73
54,31
43,43
45,75
40,57
29,77
29,30
30,30
27,56
37,61
38,92
31,39
29,39
35,62
23,83
41,95
47,99
42,44
29,61
42,52
32,75
48,91
37,51
30,85
26,57
42,98
21,99
36,45
36,48
57,88
40,46
21,39
33,34
37,98
46,30
41,56
50,100
40,68
31,42
21,90
29,54
35,97
27,82
28,92
49,31
51,87
36,96
34,67
55,97
24,77
30,72
26,73
22,43
36,61
30,40
37,95
40,46
42,95
37,49
43,59
40,78
54,86
34,72
31,31
43,61
43,74
25,99
37,72
31,98
39,52
56,86
30,83
41,49
28,79
25,91
52,39
45,69
52,30
42,92
30,43
60,41
46,87
42,88
24,62
34,33
38,42
40,79
26,90
30,53
29,93
29,71
19,52
30,69
57,56
50,88
30,49
60,80
47,65
46,51
35,46
54,42
34,62
46,94
31,33
33,56
33,38
30,57
35,72
31,66
34,43
42,97
36,32
22,99
48,37
55,83
41,56
35,85
40,75
39,48
31,77
42,56
45,61
26,58
29,34
33,95
31,44
18,69
40,58
41,62
26,45
35,80
34,74
26,66
37,59
46,86
41,91
37,69
52,78
32,60
24,38
38,76
37,65
49,58
24,89
26,66
24,94
50,99
25,40
24,55
30,74
34,83
31,46
35,54
31,66
27,66
37,75
20,83
42,81
43,50
38,43
43,72
48,40
44,50
34,31
27,85
21,49
44,35
22,69
33,39
32,92
30,71
53,34
34,42
45,100
26,71
37,36
29,62
35,82
33,30
54,88
36,48
27,54
20,32
33,70
35,41
23,58
25,57
38,46
29,76
48,56
27,71
37,80
50,74
34,46
24,65
39,80
32,55
50,50
38,33
27,68
32,39
47,42
40,48
53,59
41,73
